Inglês;Português
She insists on honesty as a matter of principle.;Ela insiste na honestidade por uma questão de princípio.
All requests for free tickets are turned down as a matter of policy.;Todos os pedidos de ingressos gratuitos foram rejeitados por uma questão de diretriz.
He invited her as a matter of courtesy.;Ele a convidou por uma questão de cortesia.
As a matter of fairness, he should be allowed to give his version of events.;Por uma questão de imparcialidade, ele deveria poder dar a sua versão dos fatos.
If you keep working 80-hour weeks, you’ll run yourself into the ground sooner than later.;Se você seguir trabalhando semanas de 80 horas, você vai se esgotar mais cedo do que tarde.
He ran himself into the ground , and collapsed with exhaustion at the end of the game.;Ele correu até se esgotar e desmoronou de exaustão no final do jogo.
In just one year, she managed to run her new car into the ground.;Em somente um ano, ela conseguiu arruinar seu novo carro.
During her brief time as chief executive Marjorie just about ran the company into the ground.;Durante seu curto tempo como diretora executiva, Marjorie praticamente arruinou a companhia.
If you would just remember to get your oil changed, you wouldn’t keep running your cars into the ground.;Se você ao menos se lembrasse de trocar o óleo, você não ficaria arruinando seus carros.
You’ve run the upcoming election into the ground and I simply won’t listen to another word about it.;Você já esgotou (o tema) da próxima eleição e eu simplesmente não vou ouvir nem mais uma palavra sobre isso.
We’ve all moved on from that problem, so there’s no use running it into the ground.;Todos já avançamos além deste problema, de forma que não há porque continuar falando sem parar disso.
They’ve run the abortion issue into the ground.;Eles esgotaram a questão do aborto.
After nearly three months of searching, we finally ran the suspects to ground.;Depois de quase três meses de pesquisas, finalmente alcançamos os suspeitos.
The record is quite rare, but I managed to run a copy to ground at a flea market in Atlanta.;A gravação é bem rara, mas consegui localizar uma cópia em um mercado de pulgas em Atlanta.
Detectives finally ran the terrorists to ground in an apartment building in Chicago.;Os detetives finalmente localizaram os terroristas em um prédio em Chicago.
The escaped prisoner was run to ground within a couple of days.;O prisioneiro fugitivo foi localizado dentro de um par de dias.
She spent a great deal of money on furnishing her apartment.;Ela gastou uma grande quantidade de dinheiro mobiliando seu apartamento.
He asked for little but received a great deal.;Ele pediu pouco, mas recebeu muito.
She received a great deal of sympathy for her loss.;Ela recebeu muita compaixão por sua perda.
She spent a good deal of time on the project.;Ela passou uma grande quantidade de tempo no projeto.
They say he works out a great deal , but that seems little to me.;Dizem que ele malha frequentemente , mas isto parece pouco para mim.
This is a great deal better than the other option.;Isto é consideravelmente melhor do que a outra opção.
She’s married to a man a good deal older than herself.;Ela é casada com um homem consideravelmente mais velho do que ela.
He knew a good deal more than I did.;Ele sabia consideravelmente mais do que eu.
I think a great deal of that book.;Eu tenho este livro em alta estima.
I can tell your last boss thinks very a great deal of you, judging from the reference letter she wrote for you.;Consigo perceber que sua chefe anterior tem você em muito alta estima , julgando pela carta de referência que ela lhe escreveu.
Somehow I doubt the mayor will think a great deal of an article exposing all of his financial details.;Por alguma razão duvido que o prefeito vá pensar muito bem de um artigo que expõe todos os seus detalhes financeiros.
He’s just on a fishing expedition.;Pay no attention to him.
The prosecutor was accused of engaging in a fishing expedition.;O promotor foi acusado de estar jogando verde para colher maduro.
The lawyer was on a fishing expedition.;There was no real wrong committed to justify a lawsuit.
The investigators’ request for the company’s accounts is simply a fishing expedition – they have no real evidence of wrongdoing.;A solicitação dos investigadores de acessar as contas da companhia é simplesmente um caso de jogar verde para colher maduro – eles não têm provas reais de delito.
This is nothing more than a fishing expedition aimed at uncovering dirt on our candidate.;Isto não é nada mais do que uma tentativa de jogar verde para colher maduro , visando desencavar sujeira sobre nosso candidato.
We are going to have to go on a fishing expedition to try to find the facts.;Vamos ter de fazer uma investigação se quisermos descobrir os fatos.
The sales force was told to go on a fishing expedition to find out what they could about the company’s competitors.;Disseram para a equipe de vendas fazer uma investigação para descobrir o que pudesse sobre os concorrentes da companhia.
In the US, police are not allowed to go on a fishing expedition in your house without a search warrant.;Nos EUA, a polícia não tem permissão de “ jogar um verde ” na sua casa sem um mandado de busca.
